p_id;descriptions
18379; Æbler har en sød, frisk og let syrlig smag med noter af blandt andet ananas, pære og blomst. De dufter modent, friskt og sødt med hints af bolche og frugt.Æbler er velegnede at spise, som de er, eller i desserter og salater. Prøv dem for eksempel i en salat med avocado og tomat eller bag dem og servér med marcipan og hakkede mandler. Prøv også at bruge dem til æblegrød eller -mos eller til juice og most.Holdbarheden forlænges ved kølig opbevaring.
51138;Kartofler har en mild og lidt syrlig smag med noter af umami. De dufter sødt, friskt og mildt med strejf af smør.Kartofler fra Salling er velegnede til salater, kartoffelmos og bagt i ovnen. For eksempel som hasselbackkartofler, krydrede kartoffelstave eller som en del af en rodfrugtsblanding. Prøv dem også på smørrebrød med groft salt og krydderurter eller kogte vendt i smør og drysset med groft salt til lette kød- og fiskeretter.Mørk og kølig opbevaring forlænger holdbarheden.
18359; Forårsløg har en skarp, sød og fyldig smag med grønne nuancer. De indre lag er sødere og mildere end de ydre, og toppen har en mere sammensat smag. De har en skarp og frisk duft med noter af fyrretræ og græs.Forårsløg kan både anvendes rå og tilberedte. Toppen er velegnet som klip over æggeretter, fisk og smørrebrød. I varme retter bruges forårsløg for at give en mild løgsmag, og de bruges ofte i wok- eller fiskeretter med kokosmælk, chili og asiatiske krydderier.Holdbarheden bliver forlænget ved kølig opbevaring.
63753;Squash smager mildt, lidt sødt af agurk og mineralsk med en anelse grønt æble, honning og honningmelon. De dufter mildt, rent, friskt, let og græsagtigt. Når de tilberedes er smagen mild med noter af grøntsager, smør, kogt asparges og kogt frisk pasta med umami. De dufter af kogt korn, kartofler og mild, kogt pasta.Salling ØKO økologiske squash er velegnede sammen med fisk og pasta eller i fine strimler som erstatning for pasta. Prøv også halverede, fyldte squash, hvor fyldet kan varieres efter smag og derefter bages. De er også gode som fyld i kager.Holdbarheden forlænges ved kølig opbevaring.
37982;Gulerødder har en sød, frugtig, mild og en anelse bitter smag med lette nuancer af citrus samt træ. Med skræl smager de let bittert med noter af gulerodstop og har en meget sød og moden duft.Salling ØKO økologiske gulerødder er velegnede revne i rösti eller kartoffelpandekager med rodfrugter og æg. Prøv også en gulerodssalat med æbler, rosiner og citron eller en gulerodsjuice med ingefær, spidskål og appelsin.Opbevares bedst ved 2-6 grader.
41800;Grønne spidskål har lette og løse bladhoveder i modsætning til for eksempel hvidkål. Smagen i bladene er mild, frisk, lidt frugtagtig og sød med lette noter af fløde og en anelse skarpe noter af sennep. Ribber og stok/marv smager kraftigere af kål med mere bitter- og skarphed. De dufter skarpt med lidt sennep, friskt, grønt og lidt sødt med strejf af fløde.Spidskåls sprøde blade gør kålene særligt velegnede til salat. Snit dem fint og servér med mormordressing af fløde og citron. Drys gerne med hakkede mandler eller ristede solsikkekerner for at tilføre yderligere smagsnuancer. Kålene egner sig også godt til at blive svitset på panden i lidt olie som garniture til kød.Opbevares køligt i plastpose, gerne i køleskab.
69482; Avocadoer har en frisk, grøn, fed og karakteristisk smag med milde og søde noter samt hints af fløde, lidt træ, banan, smør og med nøddeagtige noter i eftersmagen. De dufter mildt med strejf af agurk og en anelse nød.Spis avocado rå i en sandwich, tacos, salater eller som guacamole dip. Prøv dem også som fyldte avocadoer. Skær dem over, fjern stenene samt lidt frugtkød og fyld op med for eksempel rødløg, tomat samt andet grønt og top af med dressing. Derudover er de også velegnede som en del af fyldet i hjemmelavet sushi.Modne avocadoer opbevares ved 12-16 grader.
18330;Broccoli har i modsætning til blomkål en løsere bygget blomsterstand.  I rå tilstand varierer smagen fra bitter og skarp med noter af kål til sød og frisk med noter af fløde og ærter. Duften er hér frisk, grøn og lidt syrlig. I kogt tilstand er smagen mild, sød og let bitter med noter af kål, blomst, kogte grøntsager og lidt umami. Duften er frisk og sød med hints af græs og grøntsager. <br/> <br/>Broccoli kan spises rå eller tilberedte. Prøv for eksempel at dampe eller stege broccoli, så de beholder deres bid. De er velegnede til salater, gryderetter eller som fyld, blendet med presset hvidløg, olivenolie, salt og peber til frisk pasta. Ved tilberedning bør broccoli kun påvirkes af varme i kort tid for ikke at blive for bløde. <br/> <br/>Opbevares på køl i plastposer.
41688; Søde, røde peberfrugter er sprøde og saftige og har en fed, kompleks, intens og nuanceret smag fra sød til krydret med noter af bolsje, citron og frugt. Jo mørkere frugt, jo mere moden og fyldig smag. Peberfrugterne har en frisk duft med noter af blomster.Søde, røde peberfrugter er velegnede som snacks, til dip eller ost og kiks. Udforsk dem rå eller som smagsgivere i supper, gryderetter og salater. De kan også bages, grilles eller lægges i krydret olie.Bør opbevares i køleskab. Tages ud en time inden brug for den bedste smag.
39150;Kartofler har en mild, lidt syrlig og grøn smag med noter af umami. De dufter sødt, friskt og mildt med strejf af smør.De økologiske kartofler er velegnede til salater, kartoffelmos og bagt i ovnen. For eksempel som hasselbackkartofler, krydrede kartoffelstave eller som en del af en rodfrugtsblanding. Prøv dem også på smørrebrød med groft salt og krydderurter eller kogte vendt i smør og drysset med groft salt til lette kød- og fiskeretter.Mørk og kølig opbevaring forlænger holdbarheden.
18305;Løg har en brændende, markant og sød smag, som udvikler sig med umami, ligesom de har en skarp, frisk og stikkende duft med hints af frugt.Løg er en meget alsidig grøntsag, som både kan bruges rå og tilberedt. Prøv at bage løgene i ovnen, hvor smagen bliver sødere. Pil dem, skær toppen af, udhul dem og fyld dem med hakkede svampe, hakket oksekød krydret med timian eller andre krydderurter. Fine som forret eller en lille frokostret.Holdbarheden bliver forlænget ved kølig opbevaring.
40810; Kiwier har en brun og lodden skal. Frugterne smager friskt, sødt, syrligt med noter af syrlig grøn drue, stikkelsbær og lidt blomst. De dufter mildt, friskt og syrligt med hints af frugt, stikkelsbær, grønt æble og lidt blomst og agurk.Kiwier er velegnede som snack, i smoothies og kager. Prøv dem også i morgenmaden med granola, på yoghurt, i en blandet frugtsalat med for eksempel jordbær og banan eller i salater. De kan også syltes eller bruges til kompot og marmelade som tilbehør til lune eller kolde desserter.Opbevares ved stuetemperatur.
40383;Romainesalater er små, aflange salathoveder med en fast struktur. Bladene er hvide i bunden og bliver grønnere mod bladenes top . De smager sødt, friskt og mildt med noter af græs og en anelse umami og mineraler. Smagen kan være lidt syrlig med let bitre noter ved bladranden. Ved gennemskæring dufter de skarpt af mælkebøttesaft og bliver herefter friske, grønne og milde.Romainesalater fra Salling er kompakte og falder ikke sammen. De er derfor velegnede til en lang række retter både rå eller tilberedte. Prøv dem for eksempel i en cæsarsalat, sammen med avocado, mozzarella og kartofler i en blandet salat eller stegt på grillen til sommerretter. Prøv dem også svitset i wok med andre grøntsager og smagfulde, asiatiske saucer.Holdbarheden forlænges ved opbevaring på køl.
71722; Æbler har en sød, frisk og let syrlig smag med noter af blandt andet ananas, pære og blomst. De dufter modent, friskt og sødt med hints af bolche og frugt.Æbler er med deres milde og søde smag børnevenlige spiseæbler, som også er velegnede til salater og i smoothies. Prøv for eksempel at blende æblerne sammen med banan, jordbær og kokos eller snittet fint i en salat med avocado og tomat.Holdbarheden forlænges ved kølig opbevaring.Sort kan variere afhængig af årstid.
18333;Rødløg har en sødlig, fyldig og skarp smag med lidt umami, mens de dufter syrligt, frugtigt og karakteristisk af løg.Rødløg er gode som garniture på forskellig vis, for eksempel syltede eller bagte med balsamicoeddike og honning. De er også velegnede til at glasere eller karamellisere til garniture til ost og kød. Prøv at karamellisere rødløg ved at skære dem i tynde skiver, rist dem på panden med balsamicoeddike og tilsæt salt og peber efter smag.Holdbarheden bliver forlænget ved kølig opbevaring.
70828;Hvidløg har en stikkende, intens og skarp smag og dufter fyldigt og karakteristisk med elementer af kål og løg.Hvidløg fra Salling kan bruges hakket eller knust som smagsgiver i gryderetter, supper eller dressinger. De kan også bages hele og upillede, hvor de bliver milde og bløde med en fin hvidløgssmag. Samtidig egner hvidløg sig godt som garniture til grillet kød, og de skal steges forsigtigt og må ikke branke, da de ellers bliver bitre.Holdbarheden bliver forlænget ved kølig opbevaring.
40626;Blommetomater er mellemstørrelse tomater, som har milde smage med friske og citrusagtige smage. Efter gennemskæring dufter tomaterne intenst, let krydret og med noter af umami.De milde blommetomater fra Salling er velegnede på frokostbordet, hvor de kan nydes som de er.<br/>Prøv også tomaterne i en græsk salat med feta eller i en tomatsalat med mozzarella, basilikum og løg.Tomater bør ikke opbevares på køl, men ved stuetemperatur, hvor smagen bedst bevares.
84669; Cantaloup meloner har en kraftig skræl og mange kerner, som er samlet i midten af melonen. Cantaloup meloners frugtkød er lyst abrikosfarvet, hvor smagen er sød og mild og bliver svagt syrlig tættere på melonens midte. Smagen har frugtige noter af karamel, bolsjer, abrikos og en anelse pære. Duften er mild, blid og sød med noter af abrikos, vandmelon og lidt banan.Cantaloup meloner er en velsmagende ingrediens til brunch, forret eller tapas omviklet med parmaskinke. Melonernes søde og milde smag og fine farve gør dem også velegnede til desserter som for eksempel i hjemmelavet is eller i en frugtsalat med vaniljecreme.Cantaloup melon bør opbevares i køleskab i maks. 8-10 dage.
73358;Økologiske Cherry tomater er små aflange tomater, som har en frisk og sød smag og passer derfor til et hav af retter. Prøv eksempelvis at nyde tomaterne som de er på en frisk sommerdag, eller i en pastasalat med salat, agurk, majs og pasta og smag hvordan det tilsammen skaber en skøn smagskombination. 
38740;Citroner har en intens og syrlig smag med ganske svage sødlige noter og hints af grapefrugt. De dufter aromatisk, friskt og syrligt samt en anelse af blomst, grapefrugt og urter.Citronsaften er en vigtig smagsgiver i mange retter og tilføjer et ekstra pift til både det kolde og varme køkken samt til dressinger og desserter.<br/>Citronskal fra økologiske citroner giver en nuanceret og aromatisk smag til retter med fisk og kylling. Prøv også at bruge saft og skal fra økologiske citroner i en fyldig citronfromage.Holdbarheden forlænges ved opbevaring på køl.
40779; Blomkål består af en stor mængde spiselige blomsterknopper, der er samlet i buketter omkring stokken. I rå tilstand er smagen sød, skarp, syrlig og en anelse bitter med noter af fløde, nød og umami. Her er duften sød, skarp og frisk. Koges blomkål, smager de sødere, og duften bliver sød med noter af smør og fløde.Blomkål kan spises rå ved for eksempel at anvende dem i salater med spæde salatblade, feta og citronsaft eller som dip til grøntsager. Koges eller steges de, kan de bruges til mange forskellige retter. Prøv for eksempel blomkål fintsnittet som blomkålsris til wok- og gryderetter eller som puré kogt med bouillon, blendet og vendt med creme fraiche, salt og peber til kød eller fisk.Opbevares på køl i plastposer.
118798;Porrer har en sød smag, som udvikler sig mod en skarp, fyldig og karakteristisk porresmag med let grønne og frugtige noter samt smag af løg. Porrer dufter skarpt, grønt, friskt og karakteristisk med duft af løg og grøntsager. Giver luft i næsen og kan svie lidt i øjnenePorrer kan spises både rå og tilberedte i for eksempel æggesalat med kogte æg, creme fraiche og karry. Prøv dem også i porretærte, suppe og wokretter, hvor porresmagen bliver mere mild og sød. Porrer kan med fordel koges, dampes eller marineres som tilbehør til kødretter. Holdbarheden forlænges ved opbevaring på køl.
38855; Pink Lady æbler er sprøde, saftige og kendetegnede ved en sød, frisk og syrlig smag med lette grønne noter samt nuancer af bolsjer og blomst. Æblernes duft er frisk, syrlig og frugtig med hints af blomst og mirabelle.Pink Lady æbler er velegnede både som spise- og madlavningsæbler og egner sig godt til for eksempel salater, ostebordet eller i varme dessertanretninger. Prøv æblerne i en æbletærte med creme fraiche eller bagt i ovnen med farin. Servér med vaniljecreme og knuste mandler.Holdbarheden forlænges ved opbevaring på køl.
109707;Hvide champignoner har en skærmformet hat med rosa-rødbrune lameller på undersiden. De har en intens og fyldig smag med noter af umami, lidt nød samt hvidskimmelost og dufter tilsvarende intenst, karakteristisk og friskt af skovbund, mos, hvidskimmelost og lidt læder.Hvide champignoner fra Salling er velegnede at spise rå i salat og som tilbehør stegt eller i sovs til kødretter. Prøv dem også på pizza og i sandwich eller steg dem med bacon til varm leverpostej.De opbevares bedst i emballagen og på køl i op til en uge. Skær først roden af umiddelbart før brug. Kan også fryses ned.
107697; Gulerødder har en sød, frugtig, mild og en anelse bitter smag med lette nuancer af citrus samt træ. Med skræl smager de let bittert med noter af gulerodstop og har en meget sød og moden duft.Gulerødder er velegnede revne i rösti eller kartoffelpandekager med rodfrugter og æg. Prøv også en gulerodssalat med æbler, rosiner og citron eller en gulerodsjuice med ingefær, spidskål og appelsin.Opbevares bedst ved 2-6 grader.
41388;Peberfrugter har en sød og syrlig smag med hints af stjernefrugt og citrus, og en sød og skarp duft med græsgrønne nuancer.Salling ØKO økologiske peberfrugter er gode på en ostemad, smørrebrød og i salater, men er også velegnede til tilberedning for eksempel grillet, flået, lagt i krydret olie og som grundingrediens i en pesto. Prøv dem også i en salsa eller som basisgrøntsag i en smagfuld gryderet.Den ideelle opbevaringstemperatur er 7-10 grader eller i køleskab. Tag peberfrugter ud en times tid før brug, da smag og duft derved træder tydeligere frem.Variation i farvekombination kan forekomme henover sæsonen.
38178; Kruspersille har en intens smag med umami, let metallisk og lidt skarpe noter af gulerodstop og persillerod. Den har en sød krydret og karakteristisk duft, som er frisk og skarp med en anelse svampe og grønt græs.Kruspersille kan anvendes i sammenkogte retter, til fisk, salater, sovs, kryddersmør og pesto. Den kan også fungere som smagsgiver i en helstegt kylling. Rens kyllingen for indmad og fyld den med kruspersille, inden den steges i en gryde, i ovnen eller på grillen.Afskåret kruspersille opbevares på køl, så bladene og smag holdes frisk i længere tid.
18380; Tomater har en frisk smag med en let sødme, lidt syre og umami. De er karakteriserede ved en svag, men frisk duft.   Tomater kan blandt andet anvendes i gryderetter, hvor tomatsmagen ikke må være for markant. De er også gode som element i en sandwich med eksempelvis kylling og bacon.Tomater bør ikke opbevares på køl, men ved stuetemperatur, hvor smagen bedst bevares.
71735; Blåbær er små, næsten sorte bær med en tynd skal. Deres smag er sød, mild og syrlig med noter af fersken, blomst, pære og urter. Frugtkødet er fast og kan variere mellem violette eller hvide- og grønlige farvenuancer. Bærrene har en let krydret duft af træ.Blåbær er særligt velegnede til desserter og som snack. Brug dem i salater med valnødder, fetaost og vinaigrettedressing som alternativ til vindruer i waldorfsalat. Derudover gør de sig også godt i en rødkålssalat sammen med tranebær til julemaden.Spises samme dag, som de købes og gerne ved stuetemperatur for smagens skyld. Opbevares maks. 3 dage ved 2-6 grader.
71728;Agurker smager mildt, sødt, en anelse syrligt med grønne nuancer og strejf af citrus, vandmelon og græskarkerner. De har en mild, frisk og en anelse syrlig duft med hints af ærtebælg, nyslået græs og vandmelon. De giver en kølende følelse i munden.Økologiske agurker er velegnede i salat, relish, sandwich og i stave som snack til dip. Prøv for eksempel en frisk agurkerelish med rødløg eller chili til fiskefrikadeller og i hjemmelavede burgere. Brug dem også som base for en grøn smoothie, agurkesuppe eller med græsk yoghurt og hvidløg i tzatziki.Holdbarheden forlænges ved kølig opbevaring.
29439;Agurker smager mildt, sødt og en anelse syrligt med grønne nuancer og strejf af citrus, vandmelon og græskarkerner. De har en mild, frisk og en anelse syrlig duft med hints af ærtebælg, nyslået græs og vandmelon. De giver en kølende følelse i munden.Agurker er velegnede i salat, relish, sandwich og i stave som snack til dip. Prøv for eksempel en frisk agurkerelish med rødløg eller chili til fiskefrikadeller og i hjemmelavede burgere. Brug dem også som base for en grøn smoothie, agurkesuppe eller med græsk yoghurt og hvidløg i tzatziki.Holdbarheden forlænges ved kølig opbevaring.
18185;Cocktailtomater på stilk er friske og intense i smagen og meget søde. Tomaterne har et syrligt strejf, lidt frugt og en anelse hø. De dufter intenst og friskt af tomatstængel og drivhus.Den medium-store, runde form gør cocktailtomater fra Salling særdeles gode til tomatsalaten, hvor de intense og friske dufte for alvor kommer til deres ret med rødløg, feta og frisk basilikum.Tomater bør ikke opbevares på køl, men ved stuetemperatur, hvor smagen bedst bevares .
18301;Avocadoer har en frisk, grøn, fed og karakteristisk smag med milde og søde noter samt hints af fløde, lidt træ, banan, smør og med nøddeagtige noter i eftersmagen. De dufter mildt med strejf af agurk og en anelse nød. Nyd avocadoer fra Salling rå i en sandwich, tacos, salater eller som guacamole dip. Prøv dem også som fyldte avocadoer. Skær dem over, fjern stenene samt lidt frugtkød og fyld op med for eksempel rødløg, tomat samt andet grønt og top af med dressing. Derudover er de også velegnede som en del af fyldet i hjemmelavet sushi. Modne avocadoer opbevares ved 12-16 grader.
18309;Løg har en brændende, markant og sød smag, som udvikler sig med umami, ligesom de har en skarp, frisk og stikkende duft med hints af frugt.Løg er en meget alsidig grøntsag, som både kan bruges rå og tilberedt. Prøv at bage Salling ØKO økologiske løg i ovnen, hvor smagen bliver sødere. Pil dem, skær toppen af, udhul dem og fyld dem med hakkede svampe, hakket oksekød krydret med timian eller andre krydderurter. Fine som forret eller en lille frokostret.Holdbarheden bliver forlænget ved kølig opbevaring.
18283;Grønne spidskål har lette og løse bladhoveder i modsætning til for eksempel hvidkål. Smagen i bladene er mild, frisk, lidt frugtagtig og sød med lette noter af fløde og en anelse skarpe noter af sennep. Ribber og stok/marv smager kraftigere af kål med mere bitter- og skarphed. Kålene dufter skarpt med lidt sennep, friskt, grønt og lidt sødt med strejf af fløde.Spidskåls sprøde blade gør kålene særligt velegnede til salat. Snit Salling ØKO økologisk, grønt spidskål fint og servér med mormordressing af fløde og citron. Drys gerne med hakkede mandler eller ristede solsikkekerner for at tilføre yderligere smagsnuancer. Kålene egner sig også godt til at blive svitset på panden i lidt olie som garniture til kød.Opbevares køligt i plastpose, gerne i køleskab.
40541;Appelsiner smager sødt, friskt og frugtigt med en smule syre samt lidt umami, som giver dybde og fylde. De har en frisk, sød og syrlig duft på én gang.Salling ØKO økologiske appelsiner er gode at spise, som de er, med god balance mellem sødme og syre. Brug dem også i juice og smoothies, desserter og tærter eller prøv julesalat med appelsinbåde, granatæblekerner, olivenolie og hindbæreddike.Holdbarheden bliver forlænget ved opbevaring på køl.
18163;Æbler har en sød, frisk og let syrlig smag med noter af blandt andet ananas, pære og blomst. De dufter modent, friskt og sødt med hints af bolche og frugt.Økologiske æbler fra Salling ØKO er velegnede at spise, som de er, eller i desserter og salater. Prøv dem for eksempel i en salat med avocado og tomat eller bag dem og servér med marcipan og hakkede mandler. Prøv også at bruge dem til æblegrød eller -mos eller til juice og most.Holdbarheden forlænges ved kølig opbevaring. Sort kan variere afhængig efter årstid.
40837; Hindbær er små bær med et blødt og porøst ydre. Bærrenes smag er sød og frisk med noter af bær og frugt samt rose, bolsje og kiwi. Bærrene er intense, syrlige og søde i deres duft med hints af modne bær og hybenrose.Hindbær er gode som snack, i desserter og/eller smoothies. Brug dem i retter, hvor bærrenes smag kan give et modspil til sødere ingredienser. For eksempel sammen med hvid chokolade i kage, til vaniljeis eller i en Peach melba-dessert med sukkerkogte ferskner.Spises samme dag, som de købes og gerne ved stuetemperatur for smagens skyld. Opbevares 1-2 dage ved 2-6 grader.
18201; Blåbær er små, næsten sorte bær med en tynd skal. Deres smag er sød, mild og syrlig med noter af fersken, blomst, pære og urter. Frugtkødet er fast og kan variere mellem violette eller hvid- og grønlige farvenuancer. Bærrene har en let krydret duft af træ.Blåbær er særligt velegnede til desserter og som snack. Brug dem i salater med valnødder, fetaost og vinaigrette dressing som alternativ til vindruer i waldorfsalat. Derudover gør de sig også godt i en rødkålssalat sammen med tranebær til julemaden.Spises samme dag, som de købes og gerne ved stuetemperatur for smagens skyld. Opbevares maks. 3 dage ved 2-6 grader.
40189;Broccoli har i modsætning til blomkål en løsere bygget blomsterstand. I rå tilstand varierer smagen fra bitter og skarp med noter af kål og melongræs til sød og frisk med noter af fløde og ærter. Duften er hér frisk, grøn og lidt syrlig. I kogt tilstand er smagen mild, sød og let bitter med noter af kål, blomst, kogte grøntsager og lidt umami. Duften er frisk og sød med hints af græs, kogt kål og grøntsager.Økologiske broccoli fra Salling ØKO kan spises rå eller tilberedt. Prøv for eksempel at dampe eller stege dem, så de beholder deres bid. De er velegnede til salater, gryderetter eller som fyld, blendet med presset hvidløg, olivenolie, salt og peber til frisk pasta. Ved tilberedning bør broccoli kun påvirkes af varme i kort tid for ikke at blive for bløde.Opbevares på køl i plastposer.
38636; Citroner har en intens og syrlig smag med ganske svage sødlige noter og hints af grapefrugt. Duften er frisk og syrlig med et strejf af blomst, grapefrugt og urter.Citronsaften er en vigtig smagsgiver til mange retter og tilføjer et ekstra pift til kolde og varme retter samt til dressinger og desserter.Citronskal fra ubehandlede citroner giver en nuanceret og aromatisk smag til retter med fisk og kylling. Prøv også at bruge saft og skal fra ubehandlede citroner i en lækker citronfromage.Holdbarheden forlænges ved opbevaring på køl.  Varen er overfladebehandlet.
37998; Purløg smager skarpt med hints af løg, sennep og lidt umami. Det dufter friskt, let krydret og lidt sødligt med noter af løg.Brug purløg som grønt drys til for eksempel æggekage eller røget makrel samt andre fiskeretter. Det er velegnet til friske kartofler, til smørrebrød eller i sandwich. Purløg snittes umiddelbart før brug og kan ikke tåle varme.Frisk purløg i potte opbevares ved stuetemperatur. Afskåret purløg opbevares på køl i maks. 2-3 dage.
70937;Bladselleri har en mild, sød, frisk, grøn og karakteristisk smag, som er lidt fed og har noter af grøntsag og en anelse nød. Bladselleri dufter friskt, skarpt og grønt.Økologiske bladselleri er velegnede rå i salater, som sprøde snacks til dip eller i en waldorfsalat med valnødder, æble og vindruer vendt i creme fraiche og flødeskum. Prøv også bladselleri i varme retter for eksempel kartoffelsuppe, chili con carne eller pasta med tomatsovs.Holdbarheden forlænges ved kølig opbevaring.
18239;Danske bagekartofler smager let syrligt med umami og ristede noter, som kan lede tankerne i retning af lejrbål og åben ild. Duften er moden med lidt syre samt ristet brød.Bagekartofler fra Salling tilberedes i ovnen og er samtidig velegnede til mos. Bag dem i ovnen i 40-50 minutter, til de er møre. De bruges som tilbehør til kødretter eller som selvstændig for- eller hovedret med fyld af for eksempel creme fraiche med krydderurter og rejer, lakse- eller stenbiderrogn eller skinke og bacon.Mørk og kølig opbevaring forlænger holdbarheden.
41870;Håndsorterede gulerødder har en frugtig og sød smag med noter af gulerodstop, friske hasselnødder og en anelse bitterhed. Med skræl har de smagsnuancer af grøntsager og lidt nød, og de dufter af gulerodstop, citrus og lidt træ.Håndsorterede gulerødder er flotte og ensartede og derfor nemme at gøre i stand. Prøv Salling ØKO økologiske, håndsorterede gulerødder i en gulerodstzatziki med revne gulerødder i stedet for agurk, som med fordel kan trække lidt i køleskabet før servering. De er også gode som snacks i madpakken.Opbevares bedst ved 2-6 grader.
39764;Orangerødder har en sød og let bitter smag med lette nuancer af gulerodstop, og det samme gør sig gældende for skrællen, som ligeledes er let bitter og mild. De dufter friskt og sødt af gulerodstop samt en smule af træ.Orangerødder fra Salling er velegnede til gryderetter. For eksempel Coq au vin med kylling, svampe og gulerødder. Prøv dem også i salater med valnødder og æbler, i stave til dip eller i madpakken.Opbevares bedst ved 2-6 grader.
